"5/20/2015 11:19:28 AM","Sean","3/5/2015","3/3/2015","","00:00 AM","Test Event 11:19:28 AM","00:00 AM","00:00 AM","3/3/2015","00:00 AM","3/5/2015","5/20/2015 11:19:28 AM","3","AD02E186-C2DE-4543-9CB9-8F65408E0CB4","7"
"5/20/2015 11:21:12 AM","Sean","3/5/2015","3/3/2015","","00:00 AM","Test Event 11:21:12 AM","00:00 AM","00:00 AM","3/3/2015","00:00 AM","3/5/2015","5/20/2015 11:21:12 AM","3","F06A5047-A2D0-4250-8DEC-A651AD436B80","7"
"5/20/2015 11:35:10 AM","Sean O'Connell","5/20/2015","5/20/2015","","","new event","","","5/20/2015","","5/20/2015","5/20/2015 11:38:59 AM","1","2171FC42-1B76-4893-8BC0-524D72178B15","7"
"5/20/2015 11:36:12 AM","Sean O'Connell","5/20/2015","5/20/2015","","","new event 11:36:12 AM","","","5/20/2015","","5/20/2015","5/20/2015 11:37:55 AM","1","4DDC3955-22AD-4E12-BA2A-0C0DDEAD4B79","7"
"5/20/2015 11:38:59 AM","Sean O'Connell","5/20/2015","5/20/2015","","","new event 11:38:59 AM","","","5/20/2015","","5/20/2015","5/20/2015 11:38:59 AM","1","31F3B46F-8872-4795-BEFE-05F479856C5E","7"
"5/21/2015 12:08:13 AM","ben assef","10/10/2015","10/10/2015","","","Kristen's Wedding","","","10/10/2015","","10/10/2015","5/21/2015 12:09:09 AM","1","58D6256D-8251-4050-88A9-8CD86524B281","7"
"5/21/2015 9:44:18 AM","ben assef","6/12/2015","6/5/2015","","","Red Ball Project","","11:00 AM","6/5/2015","7:00 PM","6/12/2015","5/21/2015 9:45:02 AM","8","2F8FCC5A-CF9F-4025-9095-EF18E9423357","7"
"5/21/2015 10:25:37 AM","Sean O'Connell","5/24/2015","5/23/2015","","","Nashota Blues Fest","12:00 PM","9:00 AM","5/23/2015","11:00 PM","5/24/2015","5/21/2015 10:26:57 AM","2","734A531A-DF72-4293-B870-B3585B3461C0","7"
"5/29/2015 9:04:06 AM","ben assef","7/18/2015","7/18/2015","","","Kathryn Palen Wedding","","10:00 AM","7/18/2015","11:00 PM","7/18/2015","5/29/2015 9:08:33 AM","1","EB05B79A-2371-4DBD-9E65-3C4F155D2F45","7"
"6/1/2015 10:29:11 AM","Sean O'Connell","8/31/2015","6/1/2015","","","Zumba on the Plaza","","","6/1/2015","","8/31/2015","6/6/2016 4:14:10 PM","92","F84CE8A7-042D-4608-8BB5-342129F87B95","7"
"6/3/2015 12:38:20 AM","ben assef","6/3/2015","6/3/2015","","","Inventory","","","6/3/2015","","6/3/2015","6/3/2015 12:38:40 AM","1","F25CCF15-CC0B-4F64-A72B-B53061D5915F","7"
