"","","","Cabling","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","100' NL4","0","6/8/2016 12:01:38 PM","","","A95CF76D-D9A7-314F-8B62-8786125A84A9","","",""
"","","","Cabling","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","NL4 Jumpers","0","3/24/2015 12:57:49 AM","","","4A17DA94-2D45-A644-8734-4FC925FBB260","","6",""
"","","","Cabling","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Little Bro","0","3/24/2015 12:57:50 AM","","","DA0F498F-E485-8846-8C80-95502A1E6606","","4",""
"","","","Misc.","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","NL4 Barrel","0","3/24/2015 12:57:51 AM","","","25726F2B-5660-FC46-8323-9BCC2CBF6553","","2",""
"","","","Audio","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","SM58","0","3/24/2015 12:57:51 AM","","","F892084F-844D-B949-85CB-4E9AAB8A98D4","","1",""
"Audio","","","Cabling","","196CADCE-68AB-8C44-B921-B5BD20D6A710","1241DBD4-D3FD-B24E-8088-3CC575C39821","XLR 10'","0","3/24/2015 1:04:49 AM","","","9C2D83B0-A677-BF48-BBFE-B61CE0C75802","0","4",""
"Audio","","","Cabling","","196CADCE-68AB-8C44-B921-B5BD20D6A710","5CB84FE6-E3F3-D24C-A280-4D71132FDD64","XLR 25'","0","3/24/2015 1:04:50 AM","","","69F9168D-A197-7E43-85BB-BFA807A51565","0","10",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","DJ Table","0","3/24/2015 12:57:53 AM","","","2B34BF3D-ECC6-454E-BF8D-1611E4E0FD9C","","1",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Black Drape","0","3/24/2015 12:57:53 AM","","","01F07257-6ED2-654D-AE93-594D5933A057","","1",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Barricade","0","3/24/2015 12:57:54 AM","","","39D655BF-1C7D-C740-BCE5-4EB2200C19CD","","1",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Chain and Lock","0","3/24/2015 12:57:55 AM","","","9F5763FB-C798-8545-8274-35F2215476AB","","1",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","ST-132","0","3/24/2015 12:57:55 AM","","","EEC19616-C4F1-2C48-A0D7-5D001B1A501F","","2",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Warm E-Tape","0","3/24/2015 12:57:56 AM","","","28F9FD7A-7237-984C-87E8-F0DDF5A992E5","","2",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Pair of Turnarounds","0","3/24/2015 12:57:56 AM","","","4CEF6CA4-BE34-FF41-B0D5-A155F4FAF8CA","","2",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Quad Boxes","0","3/24/2015 12:57:57 AM","","","A57B5CD8-1CE7-5C4C-8A02-1E892E0B027B","","4",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","XLR Jumpers","0","3/24/2015 12:57:58 AM","","","B4E9C9F3-AE60-AB44-8E71-0B8D5CCF74EC","","4",""
"Power","","","Misc.","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","DA948FB4-5586-6645-8BF1-E0E5C20B3E95","Double Distro","0","3/24/2015 1:04:56 AM","","","D217B89D-19D9-3947-867C-B38CEA69C337","0","1","Distro"
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","100' AC","0","3/24/2015 12:57:59 AM","","","18857097-29B7-C14D-96D5-321047BCD095","","2",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","50' AC","0","3/24/2015 12:57:59 AM","","","7F2B97DB-03EB-AB47-B47A-AA52A86B3739","","1",""
"Power","","","Cabling","","196CADCE-68AB-8C44-B921-B5BD20D6A710","E32261ED-7A21-3749-A10D-60346784C3C0","Feeder 150'","0","3/24/2015 1:04:58 AM","","","6B510A85-251C-4E46-861C-277E4DF4CADA","0","1","Feeder"
"Power","","","Misc.","","196CADCE-68AB-8C44-B921-B5BD20D6A710","F90EEF20-A39E-FE47-98FC-2999D4687D0E","New Distro","0","3/24/2015 1:04:58 AM","","","B4943F58-2E4B-8346-A835-1395CC2AB140","0","1","Distro"
"Audio","","","Cases","","196CADCE-68AB-8C44-B921-B5BD20D6A710","140BC4B8-68F4-5247-96B5-142F3A79E505","Main Amp Rack ","0","3/24/2015 1:04:59 AM","","","5DBA457B-5752-254A-ABB1-A5608DF6669C","20","1","Amp Racks"
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","30A Cable","0","3/24/2015 12:58:02 AM","","","5115FF24-E22C-FC4C-9390-8A72A153D033","","1",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","FXLR > TRS","0","3/24/2015 12:58:02 AM","","","1FD74E09-FD7B-2D4B-80B3-47AD305A0646","","2",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Router","0","3/24/2015 12:58:03 AM","","","1B08F8C8-6C3C-D94D-8F50-2E7BDEBEAD75","","1",""
"","","","Extra","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","Cat 5","0","3/24/2015 12:58:03 AM","","","5AFC6387-2CB2-B64D-9D76-7D3ACA61E3F2","","2",""
"","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","AC 25'","0","6/8/2016 12:01:39 PM","","","8C037957-A5A0-D643-A94D-E6E55A0FB2FE","","",""
"","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","AC 50'","0","6/8/2016 12:01:40 PM","","","BA0C5966-092F-2648-BA86-9A70E4AF9C5F","","",""
"","","","Extra","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","NSP-Lx's","0","3/24/2015 12:58:05 AM","","","56499150-C00C-4849-A5F9-697ECA6EA9A2","","2",""
"","","","Extra","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","NSP-Lx","0","3/24/2015 12:58:06 AM","","","0862E99D-34FE-D740-97A4-D32D2A7C09BF","","2",""
"","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","AC 10'","0","6/8/2016 12:01:42 PM","","","97CAA447-BF66-2947-89EB-2C9B09F3AA01","","",""
"","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","AC 5'","0","6/8/2016 12:01:41 PM","","","C3E30606-CA5A-F941-BCBC-998A45D223C6","","",""
"Mixers","","","Audio","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","2B6193A8-D01B-3C44-AC72-12297BE5E325","Qu-16","0","3/24/2015 1:05:06 AM","","","033ECA62-A1DA-6943-A31F-9BD0E5426551","150","1",""
"Speakers","","","Audio","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","DAEE0F91-EDDD-7948-A08F-24F7698B09BD","CM15V","0","3/24/2015 1:05:06 AM","","","B49660F1-B624-4344-966F-FE285C6FF81A","25","6","Monitors"
"","","","Audio","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","NL4 50'","0","3/24/2015 12:58:09 AM","","","982E8067-68FD-BE43-AEEE-2D01C11D3B01","","7",""
"Audio","","","Cases","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","60FDB541-26E8-564D-B614-52BC651FA104","Main Monitor Rack","0","3/24/2015 1:05:07 AM","","","3311D352-D107-E64E-8AEF-4595E748C632","30","1","Amp Racks"
"","","","Audio","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Mic Pack","0","3/24/2015 12:58:10 AM","","","D5A5724A-1D1B-4F43-9991-72422812F32C","","1",""
"","","","Audio","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Mic Stand Pack","0","3/24/2015 12:58:10 AM","","","943CE135-282B-EF44-A781-AADD4C66154D","","1",""
"Audio","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","5CB84FE6-E3F3-D24C-A280-4D71132FDD64","XLR 25'","0","3/24/2015 1:05:09 AM","","","21442809-66ED-6142-BA8B-236AF8B688CD","0","25",""
"Audio","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","9C658EF9-29A6-DC4E-8B11-69A610AE0F2C","XLR 50'","0","3/24/2015 1:05:10 AM","","","13A43434-360B-284C-9675-B71BBDC23788","0","4",""
